stream_m3s,day,month,year,date,streamflow
2.6617792,1,1,1948,1948-01-01,0.05841742605161552
2.6051456,2,1,1948,1948-01-02,0.05717450209307052
2.6051456,3,1,1948,1948-01-03,0.05717450209307052
2.548512,4,1,1948,1948-01-04,0.055931578134525504
2.6051456,5,1,1948,1948-01-05,0.05717450209307052
2.6051456,6,1,1948,1948-01-06,0.05717450209307052
2.5768288,7,1,1948,1948-01-07,0.056553040113798005
2.4352448,8,1,1948,1948-01-08,0.053445730217435476
2.548512,9,1,1948,1948-01-09,0.055931578134525504
2.4352448,10,1,1948,1948-01-10,0.053445730217435476
2.3786112,11,1,1948,1948-01-11,0.05220280625889047
2.3219776,12,1,1948,1948-01-12,0.050959882300345455
2.3786112,13,1,1948,1948-01-13,0.05220280625889047
2.265344,14,1,1948,1948-01-14,0.04971695834180044
2.0954432,15,1,1948,1948-01-15,0.04598818646616542
2.0671264,16,1,1948,1948-01-16,0.045366724486892905
2.12376,17,1,1948,1948-01-17,0.04660964844543792
2.0388096,18,1,1948,1948-01-18,0.044745262507620405
1.982176,19,1,1948,1948-01-19,0.043502338549075384
1.982176,20,1,1948,1948-01-20,0.043502338549075384
2.0954432,21,1,1948,1948-01-21,0.04598818646616542
1.982176,22,1,1948,1948-01-22,0.043502338549075384
1.8689088,23,1,1948,1948-01-23,0.04101649063198537
1.7556416,24,1,1948,1948-01-24,0.03853064271489535
1.8122752,25,1,1948,1948-01-25,0.039773566673440355
1.8689088,26,1,1948,1948-01-26,0.04101649063198537
1.8122752,27,1,1948,1948-01-27,0.039773566673440355
1.7556416,28,1,1948,1948-01-28,0.03853064271489535
1.699008,29,1,1948,1948-01-29,0.03728771875635034
1.6423744,30,1,1948,1948-01-30,0.03604479479780532
1.699008,31,1,1948,1948-01-31,0.03728771875635034
1.699008,1,2,1948,1948-02-01,0.03728771875635034
1.699008,2,2,1948,1948-02-02,0.03728771875635034
1.6423744,3,2,1948,1948-02-03,0.03604479479780532
1.6140576,4,2,1948,1948-02-04,0.03542333281853281
1.6423744,5,2,1948,1948-02-05,0.03604479479780532
1.6423744,6,2,1948,1948-02-06,0.03604479479780532
1.6140576,7,2,1948,1948-02-07,0.03542333281853281
1.6140576,8,2,1948,1948-02-08,0.03542333281853281
1.5291071999999999,9,2,1948,1948-02-09,0.0335589468807153
1.4724736,10,2,1948,1948-02-10,0.03231602292217029
1.5291071999999999,11,2,1948,1948-02-11,0.0335589468807153
1.6423744,12,2,1948,1948-02-12,0.03604479479780532
1.699008,13,2,1948,1948-02-13,0.03728771875635034
9.91088,14,2,1948,1948-02-14,0.217511692745377
11.609888,15,2,1948,1948-02-15,0.2547994115017273
9.344543999999999,16,2,1948,1948-02-16,0.20508245315992682
9.91088,17,2,1948,1948-02-17,0.217511692745377
9.061376,18,2,1948,1948-02-18,0.19886783336720176
7.928704,19,2,1948,1948-02-19,0.17400935419630154
11.32672,20,2,1948,1948-02-20,0.24858479170900222
8.353456,21,2,1948,1948-02-21,0.18333128388538913
7.1924672,22,2,1948,1948-02-22,0.15785134273521642
5.8898944,23,2,1948,1948-02-23,0.12926409168868117
5.380192,24,2,1948,1948-02-24,0.11807777606177607
